epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2326,1.31195,3.69226,1.58862,0.0068,0.3545,0.05705,0.03926,1.41352,3.87683,1.49319,6.25e-05,6.25e-05,6.25e-05
2,59.9181,1.24401,3.27961,1.53948,0.01151,0.36684,0.07674,0.05795,1.44841,3.7928,1.48788,0.000134777,0.000134777,0.000134777
3,98.2599,1.31191,2.91548,1.48549,0.01866,0.30688,0.10603,0.08012,1.45065,3.71468,1.49843,0.000204085,0.000204085,0.000204085
4,128.11,1.22085,2.4225,1.50087,0.02375,0.3545,0.1801,0.13028,1.57079,3.67751,1.56875,0.000270422,0.000270422,0.000270422
5,156.208,1.15058,2.11734,1.48629,1,0.05941,0.22005,0.15298,1.49582,3.64999,1.56447,0.00033379,0.00033379,0.00033379
6,208.584,1.20867,2.22592,1.44592,1,0.05857,0.21385,0.17079,1.46387,3.63624,1.52717,0.000394188,0.000394188,0.000394188
7,260.336,1.20821,2.1458,1.37748,0.84309,0.02469,0.14355,0.0805,1.52321,3.52173,1.57352,0.000451615,0.000451615,0.000451615
8,309.309,1.20213,2.04574,1.44383,0.92274,0.07407,0.16029,0.10021,1.46068,3.48202,1.4941,0.000506072,0.000506072,0.000506072
9,362.666,1.20062,2.08123,1.52262,1,0.06451,0.14406,0.09037,1.47743,3.44711,1.48205,0.00055756,0.00055756,0.00055756
10,411.249,1.08488,2.03819,1.38045,0.92032,0.07407,0.15421,0.09819,1.44844,3.1634,1.46911,0.000606078,0.000606078,0.000606078
11,455.199,1.04845,1.77037,1.29512,0.81785,0.20988,0.28575,0.17706,1.4395,2.98459,1.50192,0.000651625,0.000651625,0.000651625
12,482.144,0.9375,1.68398,1.30678,0.84153,0.19753,0.46712,0.24434,1.47107,2.77927,1.55428,0.000694203,0.000694203,0.000694203
13,505.514,1.10431,1.59393,1.31776,0.46479,0.47748,0.47773,0.26184,1.54371,2.52211,1.62922,0.00073381,0.00073381,0.00073381
14,529.159,1.14725,1.61154,1.42192,0.48061,0.50531,0.49741,0.26137,1.58918,2.46735,1.57517,0.000770448,0.000770448,0.000770448
15,553.112,1.02042,1.47914,1.31696,0.48061,0.50531,0.49741,0.26137,1.58918,2.46735,1.57517,0.000804115,0.000804115,0.000804115
16,586.098,0.96045,1.4299,1.23607,0.36721,0.39928,0.47588,0.25997,1.50554,2.59651,1.52401,0.000834813,0.000834813,0.000834813
17,624.29,0.95211,1.58477,1.23549,0.6634,0.38272,0.5592,0.32387,1.42586,2.74388,1.46241,0.000854,0.000854,0.000854
18,656.523,1.07548,1.56664,1.29355,0.66965,0.2963,0.51348,0.27104,1.39293,2.61211,1.4544,0.00082925,0.00082925,0.00082925
19,682.022,1.02862,1.50832,1.33929,0.66965,0.2963,0.51348,0.27104,1.39293,2.61211,1.4544,0.0008045,0.0008045,0.0008045
20,717.341,1.15319,1.66099,1.43442,0.65914,0.54207,0.55193,0.28867,1.44447,2.48287,1.48168,0.00077975,0.00077975,0.00077975
21,747.1,1.13724,1.51835,1.37324,0.56336,0.5485,0.61151,0.33163,1.43576,2.22221,1.49462,0.000755,0.000755,0.000755
22,773.922,0.90228,1.36174,1.26123,0.80083,0.62283,0.6781,0.37832,1.39949,2.19614,1.50333,0.00073025,0.00073025,0.00073025
23,805.441,0.93878,1.40555,1.26742,0.80083,0.62283,0.6781,0.37832,1.39949,2.19614,1.50333,0.0007055,0.0007055,0.0007055
24,829.59,1.03818,1.4819,1.27372,0.67769,0.63534,0.60866,0.36103,1.39509,2.15701,1.50147,0.00068075,0.00068075,0.00068075
25,855.344,0.99592,1.59478,1.25021,0.68598,0.66484,0.61744,0.35038,1.4032,2.04532,1.5928,0.000656,0.000656,0.000656
26,889.456,1.05452,1.6022,1.34041,0.7575,0.55081,0.60419,0.32464,1.43223,1.94033,1.6219,0.00063125,0.00063125,0.00063125
27,930.023,0.99653,1.29132,1.25523,0.7575,0.55081,0.60419,0.32464,1.43223,1.94033,1.6219,0.0006065,0.0006065,0.0006065
28,962.511,1.12043,1.9061,1.45036,0.74601,0.59405,0.64562,0.32545,1.43284,1.96703,1.58873,0.00058175,0.00058175,0.00058175
29,987.245,0.94013,1.33012,1.22819,0.68393,0.64727,0.64951,0.31666,1.42797,2.05055,1.5963,0.000557,0.000557,0.000557
30,1010.48,0.94459,1.17853,1.18458,0.81491,0.64306,0.65949,0.39273,1.4243,2.02819,1.54702,0.00053225,0.00053225,0.00053225
31,1033.59,0.92817,1.27005,1.18237,0.81491,0.64306,0.65949,0.39273,1.4243,2.02819,1.54702,0.0005075,0.0005075,0.0005075
32,1056.82,0.84432,1.2674,1.17638,0.8277,0.64803,0.6513,0.35443,1.37752,1.98948,1.52806,0.00048275,0.00048275,0.00048275
33,1080.38,0.95686,1.32522,1.2593,0.8477,0.65567,0.65728,0.36915,1.36021,1.91758,1.5096,0.000458,0.000458,0.000458
34,1107.23,0.86672,1.26254,1.252,0.84343,0.66215,0.67766,0.38402,1.38304,1.88605,1.54618,0.00043325,0.00043325,0.00043325
35,1131.33,0.87369,1.36418,1.24003,0.84343,0.66215,0.67766,0.38402,1.38304,1.88605,1.54618,0.0004085,0.0004085,0.0004085
36,1155.89,0.92545,1.61435,1.28746,0.83752,0.65785,0.68315,0.3892,1.39827,1.88394,1.58345,0.00038375,0.00038375,0.00038375
37,1179.65,0.83888,1.24461,1.21333,0.84585,0.65266,0.68823,0.40535,1.39331,1.85782,1.58862,0.000359,0.000359,0.000359
38,1203.16,0.9098,1.21829,1.21184,0.87883,0.64452,0.6894,0.421,1.38796,1.86854,1.58059,0.00033425,0.00033425,0.00033425
39,1226.89,0.99077,1.38969,1.2461,0.87883,0.64452,0.6894,0.421,1.38796,1.86854,1.58059,0.0003095,0.0003095,0.0003095
